NOC,Color
MNE,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)"
MON,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
MOZ,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
MRI,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)"
MTN,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)"
MYA,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)"
NAM,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)"
NCA,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)"
NED,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)"
NEP,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
NGR,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
NIG,"(1.0, 0.4980392156862745, 0.054901960784313725)"
NOR,"(1.0, 0.7333333333333333, 0.47058823529411764)"
NRU,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)"
NZL,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)"
OMA,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
PAK,"(1.0, 0.596078431372549, 0.5882352941176471)"
PAN,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)"
PAR,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
PER,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
PHI,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)"
PLE,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
PLW,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
PNG,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)"
POL,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)"
POR,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)"
PRK,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)"
PUR,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)"
QAT,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)"
ROC,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
ROT,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
ROU,"(1.0, 0.4980392156862745, 0.054901960784313725)"
RSA,"(1.0, 0.7333333333333333, 0.47058823529411764)"
RUS,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)"
RWA,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)"
SAM,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
SEN,"(1.0, 0.596078431372549, 0.5882352941176471)"
SEY,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)"
SGP,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
SKN,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
SLE,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)"
SLO,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
SMR,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
SOL,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)"
SOM,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)"
SRB,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)"
SRI,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)"
SSD,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)"
STP,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)"
SUD,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
SUI,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
SUR,"(1.0, 0.4980392156862745, 0.054901960784313725)"
SVK,"(1.0, 0.7333333333333333, 0.47058823529411764)"
SWE,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)"
SWZ,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)"
SYR,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
TAN,"(1.0, 0.596078431372549, 0.5882352941176471)"
TGA,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)"
THA,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
TJK,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
TKM,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)"
TLS,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
TOG,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
TPE,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)"
TTO,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)"
TUN,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)"
TUR,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)"
TUV,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)"
UAE,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)"
UGA,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
UKR,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
URU,"(1.0, 0.4980392156862745, 0.054901960784313725)"
USA,"(1.0, 0.7333333333333333, 0.47058823529411764)"
UZB,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)"
VAN,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)"
VEN,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
VIE,"(1.0, 0.596078431372549, 0.5882352941176471)"
VIN,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)"
YEM,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
ZAM,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
ZIM,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)"
